index,id,datetime,time,reading,measure,port
23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,19.86,O2,COM6

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,980.0,Pressure,COM6

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,31.5,uvTemperature,COM6

24,pine chip NO3 humid,03/20/2018 12:45:10,690.000,770.0,CO2,COM4

24,pine chip NO3 humid,03/20/2018 12:45:10,690.000,51.1,Humidity,COM4

24,pine chip NO3 humid,03/20/2018 12:45:10,690.000,28.1,Temperature,COM4

24,pine chip NO3 humid,03/20/2018 12:45:10,690.000,0.78,NH3,COM5

