index,id,datetime,time,reading,measure,port
6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,0.67,NH3,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,4.15,CO,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,0.21,NO2,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,551.82,C3H8,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,387.21,C4H10,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,514.23,CH4,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,0.67,H2,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,1.51,C2H5OH,COM5

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,19.96,O2,COM6

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,980.0,Pressure,COM6

6,pine chip NO3 humid,03/20/2018 12:36:10,150.000,29.6,uvTemperature,COM6

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,797.0,CO2,COM4

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,38.0,Humidity,COM4

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,26.9,Temperature,COM4

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,0.68,NH3,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,4.19,CO,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,0.20,NO2,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,563.99,C3H8,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,394.44,C4H10,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,533.83,CH4,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,0.68,H2,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,1.53,C2H5OH,COM5

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,19.97,O2,COM6

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,980.0,Pressure,COM6

7,pine chip NO3 humid,03/20/2018 12:36:40,180.000,29.8,uvTemperature,COM6

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,761.0,CO2,COM4

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,39.2,Humidity,COM4

8,pine chip NO3 humid,03/20/2018 12:37:10,210.000,26.9,Temperature,COM4

